pair: close=2026-07-14  T=2026-07-15
quote_sources: IRS has_as_of=True (latest 2026-07-15), Credit has_as_of=False (latest 2026-07-14)
id                                    npv_prev             npv_T           theta             mtm          cash     resid_raw    resid_cash
00000/KRW/220728-280728/3.0    -126,322,206.93   -120,711,392.89      195,620.33    5,415,193.71          0.00        0.0000        0.0000
00000/KRW/230203-280203/3.0     108,138,687.23    103,605,453.09     -274,322.57   -4,258,911.58          0.00        0.0000        0.0000
00000/KRW/230303-280303/3.7       7,702,016.96      2,898,384.68     -124,178.14   -4,679,454.14          0.00        0.0000        0.0000
00000/KRW/230307-280307/3.5      35,360,438.12     30,460,996.15     -169,294.09   -4,730,147.88          0.00        0.0000        0.0000
00001/KRW/230921-260921/3.8      17,548,354.24     17,294,025.32     -254,328.92            0.00          0.00        0.0000        0.0000
00000/KRW/240117-270118/3.2      -3,260,133.03     -4,336,612.94      -63,503.07   -1,012,976.85          0.00        0.0000        0.0000
00000/KRW/241017-261019/2.9       1,085,581.74      1,253,897.02       99,600.79       68,714.50          0.00        0.0000        0.0000
00000/KRW/241226-261228/2.7     -16,625,713.08    -15,672,204.13      215,933.35      737,575.60          0.00        0.0000        0.0000
00000/KRW/250307-270308/2.6      40,743,158.33     39,173,444.59     -297,513.09   -1,272,200.64          0.00        0.0000        0.0000
00001/KRW/250307-270308/2.6      81,486,316.66     78,346,889.18     -595,026.19   -2,544,401.29          0.00        0.0000        0.0000
00000/KRW/250310-270310/2.5     447,356,590.05    431,394,076.19   -3,136,387.09  -12,826,126.77          0.00        0.0000        0.0000
00000/KRW/250411-270412/2.3    -207,527,743.37   -202,157,388.98    1,001,527.60    4,368,826.80          0.00        0.0000        0.0000
00001/KRW/250418-260420/2.4               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00001/KRW/250512-261112/2.2     -65,029,763.27    -63,682,382.50      726,895.45      620,485.31          0.00        0.0000        0.0000
00001/KRW/250801-270802/2.3     456,051,370.38    445,973,187.54   -1,608,583.72   -8,469,599.11          0.00        0.0000        0.0000
00000/KRW/250826-270826/2.3    -258,159,231.21   -252,591,453.06      860,871.11    4,706,907.04          0.00        0.0000        0.0000
00001/KRW/250829-260831/2.3      60,058,177.44     58,806,948.56   -1,251,228.88            0.00          0.00        0.0000        0.0000
00000/KRW/251031-270430/2.5     291,875,492.75    282,553,583.42   -1,560,830.52   -7,761,078.81          0.00        0.0000        0.0000
00000/KRW/251113-261113/2.6     -43,646,075.82    -41,884,275.33      682,183.97    1,079,616.52          0.00        0.0000        0.0000
00000/KRW/251127-260527/2.6               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/251128-260529/2.7               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/251208-271208/2.8    -209,666,297.14   -201,877,065.42      738,180.05    7,051,051.68          0.00        0.0000        0.0000
00000/KRW/251210-261210/2.8     -47,986,906.57    -44,653,838.51      829,693.79    2,503,374.28          0.00        0.0000        0.0000
00000/KRW/251211-261211/2.8     -23,680,154.10    -21,672,127.41      469,517.87    1,538,508.82          0.00        0.0000        0.0000
00000/KRW/251219-260619/2.7               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/260112-310113/3.1    -907,187,740.33   -880,222,558.92      614,352.10   26,350,829.32          0.00        0.0000        0.0000
00002/KRW/260113-290115/3.0     209,287,829.10    201,399,373.11     -231,531.93   -7,656,924.06          0.00        0.0000        0.0000
00000/KRW/260113-310113/3.1    -360,502,632.86   -349,784,316.87      176,607.31   10,541,708.67          0.00        0.0000        0.0000
