pair: close=2026-07-14  T=2026-07-15
quote_sources: IRS has_as_of=True (latest 2026-07-15), Credit has_as_of=False (latest 2026-07-14)
id                                    npv_prev             npv_T           theta             mtm          cash     resid_raw    resid_cash
00000/KRW/251211-261211/2.8     -24,995,222.59    -23,028,291.79      428,421.98    1,538,508.82          0.00        0.0000        0.0000
00000/KRW/251219-260619/2.7               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/260112-310113/3.1    -907,013,082.80   -879,873,243.85      789,009.63   26,350,829.32          0.00        0.0000        0.0000
00002/KRW/260113-290115/3.0     209,287,829.10    201,362,386.80     -268,518.23   -7,656,924.06          0.00        0.0000        0.0000
00000/KRW/260113-310113/3.1    -360,502,632.86   -349,710,344.27      250,579.92   10,541,708.67          0.00        0.0000        0.0000
00002/KRW/260114-270114/2.7     174,335,054.12    157,282,666.81     -968,885.05   -9,850,625.54  6,232,876.71-6,232,876.7123        0.0000
00000/KRW/260114-270714/2.8     578,807,692.25    569,280,339.38   -2,570,302.38  -19,422,803.91-12,465,753.4212,465,753.4247        0.0000
00000/KRW/260115-310115/3.2  -1,222,585,239.52 -1,181,890,286.89    1,661,257.07   39,033,695.56          0.00        0.0000        0.0000
00003/KRW/260116-270118/2.8     194,990,763.70    177,307,470.65   -2,501,776.82  -15,181,516.23          0.00        0.0000        0.0000
00000/KRW/260122-290122/3.2     454,878,912.29    430,739,436.83   -1,017,490.22  -23,121,985.24          0.00        0.0000        0.0000
00000/KRW/260126-270126/2.8     -46,871,892.72    -43,181,893.89      525,568.84    3,164,429.98          0.00        0.0000        0.0000
00004/KRW/260127-310127/3.3     598,823,931.40    576,948,270.23     -642,697.59  -21,232,963.58          0.00        0.0000        0.0000
00003/KRW/260129-310129/3.2   1,577,684,334.60  1,523,022,770.89   -1,598,503.78  -53,063,059.93          0.00        0.0000        0.0000
00000/KRW/260204-270204/2.8      42,821,687.38     38,957,827.97     -555,023.36   -3,308,836.05          0.00        0.0000        0.0000
00000/KRW/260212-290215/3.2    -322,794,054.22   -306,486,903.66      684,927.44   15,622,223.12          0.00        0.0000        0.0000
00000/KRW/260212-280214/3.0    -280,117,874.14   -265,882,713.81    1,003,792.79   13,231,367.54          0.00        0.0000        0.0000
00000/KRW/260225-270225/2.9     212,348,910.66    193,857,601.40   -2,696,042.86  -15,795,266.39          0.00        0.0000        0.0000
00003/KRW/260226-280228/3.1    -291,727,573.82   -276,897,839.68    1,019,358.27   13,810,375.87          0.00        0.0000        0.0000
00000/KRW/260303-280303/2.9    -283,309,465.84   -271,322,236.39      814,199.18   11,173,030.27          0.00        0.0000        0.0000
00000/KRW/260306-280306/3.1     -93,250,538.60    -88,204,728.78      343,055.64    4,702,754.18          0.00        0.0000        0.0000
00000/KRW/260309-310310/3.4    -998,158,781.15   -955,996,374.79    1,248,290.29   40,914,116.07          0.00        0.0000        0.0000
00000/KRW/260311-290312/3.3     272,801,904.88    256,242,357.96     -699,675.74  -15,859,871.18          0.00        0.0000        0.0000
00000/KRW/260311-270311/2.9     -87,208,038.31    -79,648,016.20    1,111,345.34    6,448,676.76          0.00        0.0000        0.0000
00001/KRW/260311-270311/2.9     -51,221,178.92    -46,684,998.83      666,907.96    3,869,272.13          0.00        0.0000        0.0000
00000/KRW/260313-290313/3.3   1,321,780,051.98  1,238,911,899.46   -3,505,444.83  -79,362,707.69          0.00        0.0000        0.0000
00000/KRW/170414-270414/1.8     131,514,936.04    129,807,476.66     -243,890.43   -1,463,568.95          0.00        0.0000        0.0000
00000/KRW/181025-281025/2.1     389,995,330.92    382,501,801.03     -299,577.76   -7,193,952.14          0.00        0.0000        0.0000
00002/KRW/230222-280222/3.5     -19,313,167.68    -14,432,763.55      345,402.30    4,535,001.84          0.00        0.0000        0.0000
00002/KRW/230307-280307/3.5      25,463,317.13     20,382,005.17     -350,467.65   -4,730,844.32          0.00        0.0000        0.0000
00000/KRW/230428-260430/3.1               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00001/KRW/230510-280510/3.1    -117,793,059.07   -111,772,848.90      365,333.26    5,654,876.91          0.00        0.0000        0.0000
00000/KRW/230905-260907/3.6     -59,203,302.27    -59,207,989.35       -4,687.09            0.00          0.00        0.0000        0.0000
00001/KRW/240411-260413/3.4               0.00              0.00            0.00            0.00          0.00        0.0000        0.0000
00000/KRW/250307-270308/2.5      44,224,339.45     42,735,557.25     -216,624.36   -1,272,157.84          0.00        0.0000        0.0000
00001/KRW/250307-270308/2.5      44,041,030.47     42,552,220.86     -216,641.06   -1,272,168.54          0.00        0.0000        0.0000
00000/KRW/250619-300619/2.5    -548,338,387.09   -538,317,797.30      302,200.44    9,718,389.35          0.00        0.0000        0.0000
